zip,total_calls,perct
20707,1,0.0015174506828528073
20814,10,0.015174506828528073
20815,6,0.009104704097116844
20816,4,0.006069802731411229
20817,18,0.027314112291350532
20832,2,0.0030349013657056147
20833,1,0.0015174506828528073
20837,2,0.0030349013657056147
20841,3,0.004552352048558422
20850,43,0.06525037936267071
20851,6,0.009104704097116844
20852,56,0.08497723823975721
20853,20,0.030349013657056147
20854,8,0.012139605462822459
20855,12,0.018209408194233688
20860,2,0.0030349013657056147
20861,1,0.0015174506828528073
20866,5,0.007587253414264037
20871,14,0.021244309559939303
20872,8,0.012139605462822459
20874,62,0.09408194233687406
20876,22,0.03338391502276176
20877,50,0.07587253414264036
20878,43,0.06525037936267071
20879,20,0.030349013657056147
20882,8,0.012139605462822459
20886,25,0.03793626707132018
20889,1,0.0015174506828528073
20895,14,0.021244309559939303
20901,19,0.028831562974203338
20902,40,0.06069802731411229
20903,6,0.009104704097116844
20904,40,0.06069802731411229
20905,4,0.006069802731411229
20906,51,0.07738998482549317
20910,31,0.04704097116843703
21794,1,0.0015174506828528073
